date,bank,tipo,buy,sell
2022-09-08,Scotiabank,Dólar (USD) Sucursales,52.1,54.7
2022-09-08,Scotiabank,Dólar (USD) Canales Digitales*,52.5,54.25
2022-09-08,Banreservas,,52.5,54.3
2022-09-08,Banco Popular,,52.5,54.6
2022-09-08,BHD,,52.5,54.349999999999994
2022-09-08,Santa Cruz,,52.8,54.3
2022-09-08,Banco Caribe,,52.5,54.25
2022-09-08,BDI,,52.949999999999996,54.15
2022-09-08,Vimenca,,52.75,54.25
2022-09-08,BLH,,52.6,54.3
2022-09-08,Promerica,,52.65,54.3
2022-09-08,Banesco,,52.5,54.15
2022-09-08,Lafise,,52.5,54.3
2022-09-08,Ademi,,52.6,54.2
2022-09-09,Scotiabank,Dólar (USD) Sucursales,52.25,54.85
2022-09-09,Scotiabank,Dólar (USD) Canales Digitales*,52.65,54.4
2022-09-09,Banreservas,,52.7,54.5
2022-09-09,Banco Popular,,52.6,54.55
2022-09-09,BHD,,52.5,54.4
2022-09-09,Santa Cruz,,52.8,54.3
2022-09-09,Banco Caribe,,52.5,54.25
2022-09-09,BDI,,53,54.15
2022-09-09,Vimenca,,52.8,54.25
2022-09-09,BLH,,52.65,54.4
2022-09-09,Promerica,,52.65,54.3
2022-09-09,Banesco,,52.5,54.15
2022-09-09,Lafise,,52.5,54.3
2022-09-09,Ademi,,52.6,54.2
2022-09-14,Scotiabank,Dólar (USD) Sucursales,52.25,54.65
2022-09-14,Scotiabank,Dólar (USD) Canales Digitales*,52.65,54.4
2022-09-14,Banreservas,,52.7,54.5
2022-09-14,Banco Popular,,52.6,54.55
2022-09-14,BHD,,52.6,54.5
2022-09-14,Santa Cruz,,52.8,54.3
2022-09-14,Banco Caribe,,52.8,54.3
2022-09-14,BDI,,53,54.15
2022-09-14,Vimenca,,52.8,54.4
2022-09-14,BLH,,52.7,54.4
2022-09-14,Promerica,,52.65,54.3
2022-09-14,Banesco,,52.5,54.15
2022-09-14,Lafise,,52.7,54.5
2022-09-14,Ademi,,52.65,54.25
2022-09-27,Scotiabank,Dólar (USD) Sucursales,52.05,54.45
2022-09-27,Scotiabank,Dólar (USD) Canales Digitales*,52.45,54.2
2022-09-27,Banreservas,,52.5,54.3
2022-09-27,Banco Popular,,52.6,54.55
2022-09-27,BHD,,52.6,54.5
2022-09-27,Santa Cruz,,52.8,54.3
2022-09-27,Banco Caribe,,52.8,54.3
2022-09-27,BDI,,53,54
2022-09-27,Vimenca,,52.8,54.4
2022-09-27,BLH,,52.7,54.3
2022-09-27,Promerica,,52.65,54.3
2022-09-27,Banesco,,52.5,54.15
2022-09-27,Lafise,,52.7,54.4
2022-09-27,Ademi,,52.65,54.25
2022-10-25,Scotiabank,Dólar (USD) Sucursales,52.5,54.7
2022-10-25,Scotiabank,Dólar (USD) Canales Digitales*,52.7,54.6
2022-10-25,Banreservas,,53,54.5
2022-10-25,Banco Popular,,52.6,54.6
2022-10-25,BHD,,52.7,54.6
2022-10-25,Santa Cruz,,53.3,54.5
2022-10-25,Banco Caribe,,53.3,54.5
2022-10-25,BDI,,53.4,54.5
2022-10-25,Vimenca,,53.4,54.55
2022-10-25,BLH,,53,54.5
2022-10-25,Promerica,,53.1,54.6
2022-10-25,Banesco,,52.7,54.35
2022-10-25,Lafise,,52.8,54.5
2022-10-25,Ademi,,53.4,54.6
2022-12-21,Scotiabank,Dólar (USD) Sucursales,54.1,55.95
2022-12-21,Scotiabank,Dólar (USD) Canales Digitales*,54.3,55.95
2022-12-21,Banreservas,,54.849999999999994,55.849999999999994
2022-12-21,Banco Popular,,54.05,55.95
2022-12-21,BHD,,54.15,55.949999999999996
2022-12-21,Santa Cruz,,54.97,55.97
2022-12-21,Banco Caribe,,54.949999999999996,55.949999999999996
2022-12-21,BDI,,55.1,56
2022-12-21,Vimenca,,55,55.97
2022-12-21,BLH,,,
2022-12-21,Promerica,,54.7,55.95
2022-12-21,Banesco,,54.9,55.9
2022-12-21,Lafise,,54.449999999999996,55.949999999999996
2022-12-21,Ademi,,54.949999999999996,56
2023-07-14,Scotiabank,Dólar (USD) Sucursales,54.2,56.2
2023-07-14,Scotiabank,Dólar (USD) Canales Digitales*,54.2,56.2
2023-07-14,Banreservas,,0,56.1
2023-07-14,Banco Popular,,54.15,56.2
2023-07-14,Banco Caribe,,55.05,56.2
2023-07-14,BDI,,55.3,56.2
2023-07-14,Vimenca,,55.1,56.2
2023-07-14,Promerica,,54.95,56.2
2023-07-14,Lafise,,54.8,56.2
2023-07-14,Ademi,,55.3,56.25
2023-07-15,Scotiabank,Dólar (USD) Sucursales,54.2,56.2
2023-07-15,Scotiabank,Dólar (USD) Canales Digitales*,54.2,56.2
2023-07-15,Banreservas,,54.8,56.1
2023-07-15,Banco Popular,,54.15,56.2
2023-07-15,Santa Cruz,,54.9,56.2
2023-07-15,Banco Caribe,,55.05,56.2
2023-07-15,BDI,,55.3,56.2
2023-07-15,Vimenca,,55.1,56.2
2023-07-15,BLH,,54.8,56.2
2023-07-15,Promerica,,54.95,56.2
2023-07-15,Lafise,,54.8,56.2
